feature,mean_abs_shap
card_id,1.2079237
C13,0.34678876
C1,0.2861526
TransactionAmt,0.26117125
C14,0.22061755
P_emaildomain,0.19762431
V70,0.1788185
D15,0.17312841
D2,0.16843031
addr1,0.16402934
C2,0.15501127
D4,0.14322929
D1,0.13686526
amt_zscore_card,0.13169126
C5,0.124006644
C11,0.12108237
hour_sin,0.107944034
hour_cos,0.10667349
M6,0.09754346
C6,0.09116871
M4,0.09050218
D10,0.08243206
ProductCD,0.08188012
V91,0.07359191
C4,0.0679856
D3,0.059722137
C9,0.059470557
D11,0.056032576
V307,0.054623637
V285,0.052619483
C10,0.04486616
V82,0.044494182
V308,0.04389479
M3,0.043074198
V313,0.04208609
V310,0.039576482
addr2,0.036407705
V53,0.033975344
V294,0.033783615
V130,0.03262672
V283,0.026122006
V48,0.026011134
V314,0.024577634
amt_log,0.024519661
V127,0.024056911
C8,0.023792073
V312,0.02324215
M1,0.022620866
V11,0.022544764
V317,0.02137059
V102,0.020830099
C12,0.020804282
V316,0.020218914
V87,0.019967057
V83,0.019609127
V124,0.019512583
V75,0.01932996
V45,0.018612327
V309,0.018333528
V302,0.018140128
V281,0.017885238
V30,0.017455176
V128,0.01716972
V311,0.01698825
V71,0.01674048
V54,0.01588765
V315,0.015794951
V99,0.0152493715
V55,0.014882124
V49,0.014213689
V13,0.013848476
V76,0.013625569
V69,0.013538928
V62,0.013363038
V66,0.013160514
V280,0.013001344
V12,0.012508276
V61,0.011990193
M2,0.011941793
V292,0.0117923
V21,0.011692989
V96,0.011309573
V131,0.011267158
V20,0.010941529
V306,0.010772566
V38,0.010659125
V4,0.010643465
V25,0.010557051
C3,0.010511926
V72,0.010298575
V92,0.010195213
V77,0.009904322
V133,0.009702389
V37,0.009401218
V34,0.009370166
V36,0.009222786
V296,0.00920599
V282,0.0091532925
V291,0.0091226045
V2,0.008991526
V5,0.008790411
V320,0.00878634
V135,0.0085697
V35,0.008419519
V126,0.008235334
V29,0.008178608
V23,0.0077878167
V19,0.007692705
V136,0.0076762405
V65,0.0074854326
V40,0.0071137543
V129,0.0070977868
V44,0.0069899964
V78,0.006698832
V293,0.0063455408
C7,0.006166194
V26,0.0059840945
V67,0.005961865
V90,0.0058522187
V50,0.005771686
V56,0.0056763445
V303,0.005386988
V304,0.0052927434
V290,0.005249001
V10,0.0051099053
V289,0.004941213
V46,0.004792373
V86,0.0046596886
V17,0.0045859464
V279,0.0041685263
V24,0.0040465994
V22,0.004009974
V80,0.003989641
V318,0.0039090826
V108,0.0037481294
V137,0.0036948693
V47,0.0036231983
V287,0.0035458652
V63,0.0035037368
V51,0.0034077317
V101,0.0031615132
V14,0.003117841
V81,0.003080414
V321,0.003040426
V132,0.0029834555
V74,0.0029628314
V300,0.0026319395
V288,0.0025278884
V7,0.002517032
V123,0.0024074023
V52,0.0024004797
V33,0.0023879274
V93,0.0023667198
V6,0.0023304324
V18,0.002305822
V100,0.0022513699
V97,0.0022345963
V42,0.0020204429
V109,0.0019475603
V39,0.0019285971
V319,0.0018952055
V134,0.0018613688
V8,0.0017636232
V64,0.0017357611
V57,0.001704084
V85,0.0016550651
V3,0.0016392884
V84,0.0016032303
V286,0.0015444629
V73,0.0015192169
V284,0.0014789263
V116,0.0013964352
V115,0.0012949974
V125,0.0012776502
V104,0.0012448427
V299,0.001161899
V31,0.0010846207
V295,0.0010484576
V95,0.0010432
V114,0.0009922277
V94,0.00093779643
V298,0.00092559244
V105,0.00090355275
V103,0.0008615623
V301,0.0007605237
V106,0.00072285277
V43,0.0007139413
V15,0.0007037436
V60,0.0006943518
V113,0.0006761026
V59,0.00062999775
V297,0.0005933763
V58,0.00054942886
V98,0.00036960648
V16,0.00021579747
V111,0.00019357736
V79,0.00018678543
V120,0.00015579695
V112,0.00014127862
V32,9.847434e-05
V9,9.8397526e-05
V122,7.790917e-05
V1,5.7722635e-05
V41,0.0
V27,0.0
V28,0.0
V121,0.0
V89,0.0
V68,0.0
V119,0.0
V118,0.0
V117,0.0
V107,0.0
V110,0.0
V88,0.0
V305,0.0
